record_index,capture,scenario_id,lane_index,frame_index,subevent_index,packet_index,record_in_packet,stream_offset,source_actor_id,destination_actor_id,target_marker,property_hash,value_width,value_hex,value_u_le,value_f32
0,accept_leve.pcapng,battlecraft-leve-accept-and-complete,0,38,0,0,0,1,43723073,43723073,,0x19030954,2,c330,12483,
1,accept_leve.pcapng,battlecraft-leve-accept-and-complete,0,53,0,1,0,1,43723073,43723073,,0xb4f4e4ca,2,c230,12482,
2,accept_local_leve.pcapng,battlecraft-leve-accept-and-complete,0,31,0,0,0,1,43723073,43723073,,0x3e8a7bb7,4,8ad5f1a0,2700203402,-4.09682964e-19
3,accept_local_leve.pcapng,battlecraft-leve-accept-and-complete,0,31,0,0,1,29,43723073,43723073,playerWork/journal,0x4f5efe11,2,ca00,202,
4,accept_quest.pcapng,side-quest-accept-and-journal,0,23,0,0,0,1,43723073,43723073,,0xb5e7f445,4,16b1f1a0,2700194070,-4.09441737e-19
5,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,6,0,0,0,1,43723073,43723073,,0xd6917eac,4,1020aa3e,1051336720,0.332275867
6,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,12,0,1,0,1,43723073,43723073,,0x2f394338,95,00001e001f001a00000000001e00110000000000000000000000000000000000000000000000000000001e00300000000000000000000000000000000000000000000100000000000000000000000400000000000000000000000000000001,23689546086131422960647270026588478931810543511767355224817149726088099732704467060448801016904626901090673271012573964141206168177375992194805640105139955628274877115814291537253188586678700325350593306698432252651958750281728,
7,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,13,1,2,0,1,43723073,43723073,,0x2f394338,11,0000000000000000000003,3626777458843887524118528,
8,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,14,0,3,0,1,43723073,43723073,,0x0ad1ce80,95,ff003200320032003200320032003200ff003200ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff0032003200ff00ff00ff00ff00ff0032003200320032003200320032003200ff00ff00320032003200ff00ff00ff00ff00ff00ff0001,23781723308256447952712045396340806180869615993167844472432004100322134239808893960801433895105628498007153485506402098817483122103465021464215785337914822543512982255564054035911411498352514656202031940640693663228366840529151,
9,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,15,0,4,0,1,43723073,43723073,,0x0ad1ce80,11,ff00ff00ff00ff00ff0003,3631481450359897754370303,
10,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,21,0,5,0,1,43723073,43723073,,0x8a676a74,4,00000000,0,0
11,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,21,0,5,1,10,43723073,43723073,,0xe9d39031,4,3a6af0a0,2700110394,-4.07278763e-19
12,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,21,0,5,2,37,43723073,43723073,charaWork/command,0x9a378611,4,23b3df50,1356837667,3.00244726e+10
13,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,21,0,5,3,46,43723073,43723073,charaWork/command,0xd68fa0e1,4,0c23e050,1356866316,3.00831457e+10
14,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,21,0,5,4,55,43723073,43723073,charaWork/command,0x1bc46a06,1,00,0,
15,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,21,0,5,5,61,43723073,43723073,charaWork/command,0x4e71e841,1,01,1,
16,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,26,0,6,0,1,43723073,43723073,,0x8a676a74,4,3a6af0a0,2700110394,-4.07278763e-19
17,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,26,0,6,1,10,43723073,43723073,,0xe9d39031,4,00000000,0,0
18,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,26,0,6,2,37,43723073,43723073,charaWork/command,0x9a378611,4,0c23e050,1356866316,3.00831457e+10
19,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,26,0,6,3,46,43723073,43723073,charaWork/command,0xd68fa0e1,4,23b3df50,1356837667,3.00244726e+10
20,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,26,0,6,4,55,43723073,43723073,charaWork/command,0x1bc46a06,1,01,1,
21,action_and_traits.pcapng,action-mechanic-combat-and-actions,0,26,0,6,5,61,43723073,43723073,charaWork/command,0x4e71e841,1,00,0,
22,add_str.pcapng,character-mechanic-attributes-and-class,0,19,0,0,0,1,43723073,43723073,,0x647a29a8,2,7400,116,
23,add_str.pcapng,character-mechanic-attributes-and-class,0,19,0,0,1,34,43723073,43723073,charaWork/battleParameter,0xd22a70b1,1,00,0,
