occurrence_index,repeated_lead,lead_occurrence,capture,lane_index,frame_index,wrapped_source_actor_id,wrapped_destination_actor_id,packet_indices,subevent_indices,state_mainSkill_0,state_mainSkillLevel,generalParameter_5,hpMax_0,state_mainSkill_0_record_index,state_mainSkillLevel_record_index,generalParameter_5_record_index,hpMax_0_record_index
1,lead-1,1,from_gridania_to_blackshroud.pcapng,0,245,43723073,43723073,22 23,18 19,4,26,102,758,334,335,352,331
2,lead-2,1,gridania_to_coerthas.pcapng,0,184,43723073,43723073,8 9,18 19,3,31,110,1016,710,711,728,707
3,lead-2,2,gridania_to_coerthas.pcapng,0,854,43723073,43723073,108 109,18 19,3,31,110,1016,1859,1860,1877,1856
4,lead-2,3,gridania_to_coerthas.pcapng,0,1328,43723073,43723073,245 246,18 19,3,31,110,1016,3403,3404,3421,3400
5,lead-1,2,login.pcapng,0,17,43723073,43723073,0 1,20 21,4,26,102,758,3783,3784,3801,3780
6,lead-1,3,move_out_of_room.pcapng,0,40,43723073,43723073,1 2,18 19,4,26,102,758,4060,4061,4078,4057
7,lead-2,4,moving_around_gridania.pcapng,0,211,43723073,43723073,35 36,18 19,3,31,110,1016,4497,4498,4515,4494
8,lead-2,5,moving_around_gridania.pcapng,0,1259,43723073,43723073,242 243,18 19,3,31,110,1016,5197,5198,5215,5194
9,lead-1,4,return_to_inn.pcapng,0,47,43723073,43723073,0 1,19 20,4,26,102,758,7941,7942,7959,7938
10,lead-2,6,teleport_to_camp_nine_ivies.pcapng,0,81,43723073,43723073,0 1,18 19,3,31,110,1016,8219,8220,8237,8216
11,lead-1,5,teleport_to_camp_tranquil.pcapng,0,55,43723073,43723073,2 3,18 19,4,26,102,758,8483,8484,8501,8480
12,lead-1,6,teleport_to_gridania.pcapng,0,67,43723073,43723073,3 4,20 21,4,26,102,758,8731,8732,8749,8728
